,SUT,A1-1,A1-2,A1-3,A1-4,A2-1,A3-1,A3-2,A4-1,B1-1,B1-2,Operations with Problem,B2-1,C1-1,C1-2,C1-3,C2-1,C2-2,D1-1,D1-2,In Host,D1-3,D3-1,D3-2,Paths,Operations,Body Operations,Parameters,Status Codes,Page Param
1014,parliament_commonsvotes_v1,5,5,3,5,0,3,False,0,5,2,2,5,0,0,0,0,0,0,5,False,0,0,0,5,5,0,34,"{""200"": 5, ""400"": 5, ""404"": 1}",{}
1015,azure_managedservices_2018-06-01-preview,5,5,0,5,0,5,True,0,9,0,0,0,0,0,0,2,0,0,5,False,0,0,0,5,9,2,27,"{""200"": 9, ""201"": 2, ""204"": 2}",{}
1016,azure_automation-sourceControl_2017-05-15-preview,2,2,0,2,0,2,True,0,5,0,0,0,0,0,0,2,0,0,2,False,0,0,0,2,5,2,27,"{""200"": 5, ""201"": 1}",{}
1017,azure_security-compliances_2017-08-01-preview,2,2,0,2,0,2,True,0,2,0,0,0,0,0,0,0,0,0,2,False,0,0,0,2,2,0,5,"{""200"": 2}",{}
1018,apisetu_ditarunachal_3_0_0,1,1,1,1,0,1,False,0,1,0,0,1,0,0,0,1,0,0,1,True,0,0,0,1,1,1,1,"{""200"": 1, ""400"": 1, ""401"": 1, ""404"": 1, ""500"": 1, ""502"": 1, ""503"": 1, ""504"": 1}",{}
1019,apideck_hris_9_3_0,15,9,15,15,2,15,False,4,27,0,0,0,0,0,0,8,4,0,15,False,0,0,0,15,27,8,164,"{""200"": 23, ""400"": 27, ""401"": 27, ""404"": 27, ""201"": 4}","{""limit"": 4}"
1020,apisetu_gauhati_3_0_0,1,1,1,1,0,1,False,0,1,0,0,1,0,0,0,1,0,0,1,True,0,0,0,1,1,1,1,"{""200"": 1, ""400"": 1, ""401"": 1, ""404"": 1, ""500"": 1, ""502"": 1, ""503"": 1, ""504"": 1}",{}
1021,nexmo_conversion_1_0_1,2,2,2,2,0,2,False,0,2,0,0,0,0,0,0,0,0,0,2,False,0,0,0,2,2,0,6,"{""200"": 2, ""401"": 2}",{}
1022,azure_automation-watcher_2015-10-31,4,4,0,4,0,3,True,0,7,0,1,0,0,0,0,2,0,0,4,False,0,0,0,4,7,2,37,"{""200"": 7, ""201"": 1}",{}
1023,azure_servicebus-servicebus-preview_2018-01-01-preview,9,9,0,9,0,9,True,0,17,0,0,0,0,0,0,5,0,0,9,False,0,0,0,9,17,5,73,"{""200"": 17, ""201"": 2, ""202"": 3, ""204"": 3}",{}
